ts,time,TAC,blocked,cutoff,volte,msg,tot,tot_c
1018035,10/18/2018 3:50,28683,0,44,8925,428,37924,0.998839785
1018035,10/18/2018 3:50,28684,28,46,7728,516,62946,0.998824389
1018035,10/18/2018 3:50,28685,9,96,9374,650,71404,0.998529494
1018035,10/18/2018 3:50,28688,16,44,10038,504,55694,0.998922685
1018035,10/18/2018 3:50,29449,23,59,1358,123,13050,0.993716475
1018035,10/18/2018 3:50,29465,0,0,997,92,6456,1
1018040,10/18/2018 4:00,27214,0,6,1473,195,11700,0.999487179
1018040,10/18/2018 4:00,28672,0,0,30,0,642,1
1018040,10/18/2018 4:00,28681,16,22,4690,501,33672,0.998871466
1018040,10/18/2018 4:00,28682,0,40,11911,846,68869,0.999419187
1018040,10/18/2018 4:00,28683,7,22,8409,200,37392,0.999224433
1018040,10/18/2018 4:00,28684,18,38,7668,586,61976,0.999096424
1018040,10/18/2018 4:00,28685,17,98,8910,642,68919,0.998331375
1018040,10/18/2018 4:00,28688,18,14,9790,552,54181,0.999409387
1018040,10/18/2018 4:00,29449,20,7,1200,94,11465,0.997645007
1018040,10/18/2018 4:00,29465,8,32,818,88,6105,0.993447993
1018041,10/18/2018 4:10,27214,0,0,1473,204,12015,1
1018041,10/18/2018 4:10,28672,0,0,48,0,732,1
1018041,10/18/2018 4:10,28681,0,56,4382,451,35321,0.998414541
1018041,10/18/2018 4:10,28682,3,41,11475,614,68617,0.999358759
1018041,10/18/2018 4:10,28683,12,34,8476,283,37215,0.998763939
1018041,10/18/2018 4:10,28684,22,65,6192,456,60081,0.998551955
1018041,10/18/2018 4:10,28685,30,48,7933,509,65879,0.998816011
1018041,10/18/2018 4:10,28688,12,71,8188,740,55139,0.998494713
1018041,10/18/2018 4:10,29449,43,29,1011,45,11143,0.993538544
1018041,10/18/2018 4:10,29465,6,13,780,11,6220,0.996945338
1018042,10/18/2018 4:20,27214,0,45,1182,171,10218,0.995596007
1018042,10/18/2018 4:20,28672,0,0,48,0,486,1
1018042,10/18/2018 4:20,28681,16,0,3685,289,31396,0.999490381
1018042,10/18/2018 4:20,28682,3,54,10086,543,64334,0.999113999
1018042,10/18/2018 4:20,28683,54,10,7959,401,36109,0.998227589
1018042,10/18/2018 4:20,28684,0,0,4851,255,54483,1
1018042,10/18/2018 4:20,28685,9,11,6575,607,62693,0.999680985
1018042,10/18/2018 4:20,28688,14,90,7014,495,50148,0.997926139
1018042,10/18/2018 4:20,29449,14,14,1149,65,10818,0.997411721
1018042,10/18/2018 4:20,29465,20,17,482,12,5022,0.992632417
1018043,10/18/2018 4:30,27214,12,51,750,132,9684,0.993494424
1018043,10/18/2018 4:30,28672,0,0,24,6,492,1
1018043,10/18/2018 4:30,28681,0,14,2891,432,32619,0.999570802
1018043,10/18/2018 4:30,28682,47,46,9518,522,62940,0.998522402
1018043,10/18/2018 4:30,28683,8,0,6497,322,33447,0.999760816
1018043,10/18/2018 4:30,28684,20,22,4323,446,55328,0.999240891
1018043,10/18/2018 4:30,28685,8,12,6264,229,61122,0.999672786
1018043,10/18/2018 4:30,28688,14,37,6785,298,49191,0.998963225
1018043,10/18/2018 4:30,29449,18,6,709,261,11512,0.997915219
1018043,10/18/2018 4:30,29465,0,0,450,21,5295,1
1018044,10/18/2018 4:40,27214,0,0,657,162,10098,1
1018044,10/18/2018 4:40,28672,0,0,18,0,510,1
1018044,10/18/2018 4:40,28681,17,0,3031,469,30657,0.999445477
1018044,10/18/2018 4:40,28682,46,84,8875,859,62835,0.997931089
1018044,10/18/2018 4:40,28683,4,38,5633,159,32478,0.998706817
1018044,10/18/2018 4:40,28684,17,0,3320,420,53809,0.999684068
1018044,10/18/2018 4:40,28685,20,12,4940,238,60996,0.999475375
1018044,10/18/2018 4:40,28688,20,0,5792,181,46248,0.999567549
1018044,10/18/2018 4:40,29449,0,0,771,105,10444,1
1018044,10/18/2018 4:40,29465,0,0,477,14,5272,1
1018045,10/18/2018 4:50,27214,0,0,696,201,8838,1
1018045,10/18/2018 4:50,28672,0,0,42,6,540,1
1018045,10/18/2018 4:50,28681,0,62,2654,387,27693,0.997761167
1018045,10/18/2018 4:50,28682,6,22,7335,433,59548,0.999529791
1018045,10/18/2018 4:50,28683,12,31,5321,166,30318,0.998581701
1018045,10/18/2018 4:50,28684,6,18,2977,309,53080,0.999547852
1018045,10/18/2018 4:50,28685,12,24,4554,317,58947,0.999389282
1018045,10/18/2018 4:50,28688,0,0,5414,176,42808,1
1018045,10/18/2018 4:50,29449,6,74,545,133,9753,0.991797396
1018045,10/18/2018 4:50,29465,0,7,480,32,5414,0.998707056
1018050,10/18/2018 5:00,27214,0,0,531,99,8877,1
1018050,10/18/2018 5:00,28672,0,0,30,0,516,1
1018050,10/18/2018 5:00,28681,8,0,2434,424,28992,0.999724062
1018050,10/18/2018 5:00,28682,0,77,7364,644,59320,0.998701955
1018050,10/18/2018 5:00,28683,2,84,5793,258,30233,0.997155426
1018050,10/18/2018 5:00,28684,0,16,2635,197,51332,0.999688304
1018050,10/18/2018 5:00,28685,8,9,4052,375,57458,0.999704132
1018050,10/18/2018 5:00,28688,1,14,5219,228,45448,0.999669952
1018050,10/18/2018 5:00,29449,0,0,561,119,11150,1
1018050,10/18/2018 5:00,29465,0,6,264,17,4791,0.998747652
1018051,10/18/2018 5:10,27214,0,0,405,96,8373,1
1018051,10/18/2018 5:10,28672,0,0,12,0,660,1
1018051,10/18/2018 5:10,28681,11,43,1694,346,27799,0.998057484
1018051,10/18/2018 5:10,28682,35,11,6298,588,56437,0.999184932
1018051,10/18/2018 5:10,28683,0,32,5097,78,29441,0.99891308
1018051,10/18/2018 5:10,28684,10,6,2722,135,52741,0.999696631
1018051,10/18/2018 5:10,28685,0,15,3744,400,57122,0.999737404
1018051,10/18/2018 5:10,28688,17,29,4489,231,42511,0.998917927
1018051,10/18/2018 5:10,29449,0,0,563,48,9881,1
1018051,10/18/2018 5:10,29465,0,0,216,9,4577,1
1018052,10/18/2018 5:20,27214,9,0,462,12,8625,0.998956522
1018052,10/18/2018 5:20,28672,0,0,0,6,486,1
1018052,10/18/2018 5:20,28681,17,33,1968,209,26254,0.998095528
1018052,10/18/2018 5:20,28682,0,21,5831,333,54086,0.999611729
1018052,10/18/2018 5:20,28683,12,14,5101,140,29393,0.999115436
1018052,10/18/2018 5:20,28684,11,10,2050,167,50334,0.999582787
1018052,10/18/2018 5:20,28685,18,3,3035,203,53298,0.999605989
1018052,10/18/2018 5:20,28688,0,6,3590,236,40669,0.999852467
